programming_language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_propagation,CodeBERT,random_then_entropy_2,100,0.5416441088474141,0.2710169633934893,0.3984013137862504,0.5391206222739705,0.5496245886088253
java,label_propagation,CodeBERT,random_then_entropy_2,250,0.723977774611768,0.4987783865078807,0.5823256035593355,0.721236185369245,0.7244056896488088
java,label_propagation,CodeBERT,random_then_entropy_2,500,0.7991166832882177,0.6138532760678782,0.6785316546918821,0.7973904610734783,0.8029816465665227
java,label_spreading,CodeBERT,random,50,0.3906539393075937,0.138847137883797,0.2609030942933094,0.3878484254484859,0.3997219117601468
java,label_spreading,CodeBERT,random,100,0.5310158142185497,0.2582771568563532,0.3893701528928376,0.5295491855145427,0.5394329174306813
java,label_spreading,CodeBERT,random,250,0.7202450491523009,0.4914483602631291,0.5753129216201958,0.717213949224907,0.7200305785558496
java,label_spreading,CodeBERT,random,500,0.8678444222823763,0.7313364844654682,0.7713866317948058,0.8681561165261643,0.8674184638790242
java,label_spreading,CodeBERT,entropy,50,0.3906539393075937,0.138847137883797,0.2609030942933094,0.3878484254484859,0.3997219117601468
java,label_spreading,CodeBERT,entropy,100,0.4347057985468015,0.1755403562674868,0.2998604657825419,0.4345952908578526,0.4402134764396489
java,label_spreading,CodeBERT,entropy,250,0.4627154865365436,0.1900029273042756,0.3355713085442438,0.4688644929566543,0.4679135594733853
java,label_spreading,CodeBERT,entropy,500,0.5010115401054281,0.2142003848514995,0.3668051697635537,0.5078771285624484,0.5052003536047807
java,label_spreading,CodeBERT,uniform,50,0.3906539393075937,0.138847137883797,0.2609030942933094,0.3878484254484859,0.3997219117601468
java,label_spreading,CodeBERT,uniform,100,0.4581849266277247,0.1835545428725587,0.3447229340504604,0.4683245786514955,0.4690161609521234
java,label_spreading,CodeBERT,uniform,250,0.5154010542812367,0.2363735887607027,0.3960507373368124,0.5260287596793799,0.528724999591595
java,label_spreading,CodeBERT,uniform,500,0.6127083630146746,0.3403384313029058,0.5044130191413017,0.6259608717448663,0.629055458242262
java,label_spreading,CodeBERT,random_then_entropy_1,50,0.3906539393075937,0.138847137883797,0.2609030942933094,0.3878484254484859,0.3997219117601468
java,label_spreading,CodeBERT,random_then_entropy_1,100,0.5310158142185497,0.2582771568563532,0.3893701528928376,0.5295491855145427,0.5394329174306813
