language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_spreading,CodeBERT,random,50,0.4721745104774991,0.2353718259739342,0.3726929947512974,0.4797127713627235,0.4747586164037382
java,label_spreading,CodeBERT,random,100,0.6229817931982138,0.3758352376996267,0.4875259133737987,0.6208353080398176,0.6304115968635603
java,label_spreading,CodeBERT,random,250,0.7790106492614222,0.5900536423978253,0.6552161297137721,0.7733406952942534,0.7779440649722299
java,label_spreading,CodeBERT,random,500,0.8913775334936448,0.7888931418570737,0.81371723016736,0.8839598189220033,0.8861703513511175
java,label_spreading,CodeBERT,entropy,50,0.4721745104774991,0.2353718259739342,0.3726929947512974,0.4797127713627235,0.4747586164037382
java,label_spreading,CodeBERT,entropy,100,0.5141875644108553,0.2519768695306187,0.4091203019725564,0.5203004204169412,0.5195943085069561
java,label_spreading,CodeBERT,entropy,250,0.520886293369976,0.2420530567471354,0.4246401752884699,0.5288968284617892,0.5285845376483395
java,label_spreading,CodeBERT,entropy,500,0.5484713156990725,0.2659433954882901,0.4421382634306459,0.5531568606966668,0.5543817898843705
java,label_spreading,CodeBERT,uniform,50,0.4721745104774991,0.2353718259739342,0.3726929947512974,0.4797127713627235,0.4747586164037382
java,label_spreading,CodeBERT,uniform,100,0.5086911714187564,0.2129356930858107,0.4021612500958502,0.5209639771494706,0.5208513914377582
java,label_spreading,CodeBERT,uniform,250,0.5756784610099622,0.2851054628182738,0.4766102962542097,0.589449133113968,0.583397974546666
java,label_spreading,CodeBERT,uniform,500,0.7044658193060804,0.448266627706298,0.6137064429726402,0.7117954004458528,0.7100989331341875
java,label_spreading,CodeBERT,random_then_entropy_1,50,0.4721745104774991,0.2353718259739342,0.3726929947512974,0.4797127713627235,0.4747586164037382
java,label_spreading,CodeBERT,random_then_entropy_1,100,0.6229817931982138,0.3758352376996267,0.4875259133737987,0.6208353080398176,0.6304115968635603
java,label_spreading,CodeBERT,random_then_entropy_1,250,0.6753349364479561,0.4197787603989031,0.5622992289524777,0.6766617743303613,0.6857092331267557
java,label_spreading,CodeBERT,random_then_entropy_1,500,0.767502576434215,0.5499026280186519,0.6785291053939995,0.7694833130124706,0.7757991860868716
java,label_spreading,CodeBERT,random_then_entropy_2,50,0.4721745104774991,0.2353718259739342,0.3726929947512974,0.4797127713627235,0.4747586164037382
java,label_spreading,CodeBERT,random_then_entropy_2,100,0.6229817931982138,0.3758352376996267,0.4875259133737987,0.6208353080398176,0.6304115968635603
java,label_spreading,CodeBERT,random_then_entropy_2,250,0.7790106492614222,0.5900536423978253,0.6552161297137721,0.7733406952942534,0.7779440649722299
java,label_spreading,CodeBERT,random_then_entropy_2,500,0.8610786671246993,0.7361581246807776,0.7908709235405089,0.853904347707538,0.8605820630029852
java,label_propagation,GraphCodeBERT,random,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_propagation,GraphCodeBERT,random,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_propagation,GraphCodeBERT,random,250,0.7043971143936791,0.3472281885148598,0.6686538307449563,0.7492232750448627,0.7030258655249287
java,label_propagation,GraphCodeBERT,random,500,0.8578838886980419,0.6678656863629708,0.8074681492931948,0.8701073885147868,0.8513623439774246
java,label_propagation,GraphCodeBERT,entropy,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_propagation,GraphCodeBERT,entropy,100,0.574166952937135,0.2546674965059236,0.6128546983306172,0.5914465157177153,0.5656502622050109
java,label_propagation,GraphCodeBERT,entropy,250,0.8488491927172793,0.7136864416364821,0.8494794278671416,0.8417705872106236,0.83394221620047
java,label_propagation,GraphCodeBERT,entropy,500,0.9835108210237034,0.9706944944047952,0.9762067103825092,0.9788465218188428,0.9789241000908816
